seed,lines,inputs,holds,score,combo,topcombo,btb,topbtb,tspins,piecesplaced,finalTime,,clears.singles,clears.doubles,clears.triples,clears.quads,clears.realtspins,clears.minitspins,clears.minitspinsingles,clears.tspinsingles,clears.tspindoubles,clears.tspintriples,clears.allclear,finesse.combo,finesse.faults,finesse.perfectpieces,replayid,copy,Stacking,,,,
1671953512,40,425,42,12494,4,11,0,1,0,107,57858.33333,,11,11,1,1,0,0,0,0,0,0,0,2,80,68,63cfbf3e63226d6d116e47c2,r:63cfbf3e63226d6d116e47c2,2 Wide,,,,
1282822345,42,402,29,12362,1,2,0,5,0,110,65043.33333,,1,0,3,8,0,0,0,0,0,0,0,6,54,82,643d651a0d843ea41d793126,r:643d651a0d843ea41d793126,9-0,,,,
2143526717,40,362,5,9166,2,3,0,0,0,102,72376.66667,,25,6,1,0,0,0,0,0,0,0,0,0,68,64,6427af1819b9aa580ef7827c,r:6427af1819b9aa580ef7827c,2 Wide,,,,
1928810009,40,435,18,12880,1,4,0,4,0,104,80683.33333,,7,1,1,7,0,0,0,0,0,0,0,2,96,56,636550a35cb8097f9dd7b311,r:636550a35cb8097f9dd7b311,0-9,,,,
621412916,40,369,31,10104,1,2,0,2,0,101,74933.33333,,8,4,4,3,0,0,0,0,0,0,0,3,59,66,641b0e86beb53e7a4b07d4df,r:641b0e86beb53e7a4b07d4df,9-0,,,,
1650691940,40,460,31,9632,1,3,0,1,0,103,81625,,14,6,2,2,0,0,0,0,0,0,0,2,92,56,641b579248adfa7a3e7bb156,r:641b579248adfa7a3e7bb156,Freestyle,,,,
579365150,40,339,21,12126,1,3,0,3,0,102,63636.66667,,5,2,1,7,0,0,0,0,0,0,0,10,30,81,644106cb5290461b4c18d22c,r:644106cb5290461b4c18d22c,9-0,,,,
1680233033,40,409,16,10292,2,4,0,1,0,105,66738.33333,,13,5,3,2,0,0,0,0,0,0,0,12,78,66,640b4c5640fed39b1ee880a0,r:640b4c5640fed39b1ee880a0,Freestyle,,,,
760096924,40,434,23,10998,1,5,0,2,0,101,90870,,5,3,3,5,0,0,0,0,0,0,0,0,123,54,6404aa0040fed39b1ee5eb01,r:6404aa0040fed39b1ee5eb01,Mix,9-0,0-9,,
929750312,41,368,9,13540,2,2,0,5,0,105,66628.33333,,3,3,0,8,0,0,0,0,0,0,0,2,59,73,6412f6ab81abac9b3365a3d7,r:6412f6ab81abac9b3365a3d7,9-0,,,,
1787421678,40,540,22,11016,2,4,0,3,0,106,126230,,9,5,3,3,0,0,0,0,0,0,0,0,170,39,644d403b2778a3f96817502e,r:644d403b2778a3f96817502e,0-9,,,,
535698209,41,524,18,11342,2,2,0,2,0,115,98383.33333,,5,5,2,5,0,0,0,0,0,0,0,2,144,53,643e7f1c921ce0242bb921c8,r:643e7f1c921ce0242bb921c8,Mix,0-9,9-0,,
2129493793,40,482,22,10706,2,4,0,3,0,103,94043.33333,,18,2,2,3,0,0,0,0,0,0,0,3,114,53,6456381665d6430930ca65e5,r:6456381665d6430930ca65e5,9-0,,,,
676692537,40,496,10,9852,2,6,0,1,0,107,117483.3333,,16,10,0,1,0,0,0,0,0,0,0,1,162,44,64401179c72e7052a2db31b3,r:64401179c72e7052a2db31b3,2 Wide,,,,
1695442203,41,454,19,13046,2,5,1,5,0,106,95435,,3,0,2,8,0,0,0,0,0,0,0,2,109,53,643ddeab0d843ea41d79691d,r:643ddeab0d843ea41d79691d,9-0,,,,
1037098476,41,530,12,11322,1,3,0,2,0,104,100098.3333,,9,4,0,6,0,0,0,0,0,0,0,0,184,32,63c539818b6199cff4efdac7,r:63c539818b6199cff4efdac7,Freestyle,,,,
250362424,40,459,7,13410,1,2,0,8,0,104,114471.6667,,4,2,0,8,0,0,0,0,0,0,0,0,151,44,6455306f508a1eb061e70f34,r:6455306f508a1eb061e70f34,0-9,,,,
1862759472,41,573,4,9633,1,2,0,1,0,112,127006.6667,,2,9,3,3,0,0,0,0,0,0,0,0,242,33,6242eea3ef065ce3b0b6927e,r:6242eea3ef065ce3b0b6927e,Freestyle,,,,
1917941451,40,470,32,12430,1,2,0,6,0,106,68978.33333,,8,4,0,6,0,0,0,0,0,0,0,0,110,54,627e3797574217069591c858,r:627e3797574217069591c858,Mix,9-0,Freestyle,,
727484443,40,367,,10288,1,3,0,1,0,102,86246.66667,,9,3,3,4,0,0,0,0,0,0,0,2,64,73,60b0b472fcb01c136f597d5c,r:60b0b472fcb01c136f597d5c,Freestyle,,,,
1785371461,40,386,10,10530,1,2,0,3,0,101,77600,,8,7,2,3,0,0,0,0,0,0,0,5,81,58,63f82ec65977d89b10d401bc,r:63f82ec65977d89b10d401bc,Freestyle,,,,
681719802,40,478,29,12652,2,2,0,4,0,104,84628.33333,,0,1,2,8,0,0,0,0,0,0,0,1,126,53,62afbb8439ac6ece0c79a57b,r:62afbb8439ac6ece0c79a57b,9-0,,,,
1512208582,40,408,19,13292,1,2,1,3,3,102,84116.66667,,21,3,1,1,0,0,0,1,1,1,0,1,80,61,6407a8a740fed39b1ee70ff1,r:6407a8a740fed39b1ee70ff1,Freestyle,,,,
1695260028,40,399,11,9572,2,3,0,1,0,103,76046.66667,,22,4,2,1,0,0,0,0,0,0,0,0,85,56,638eb39909d2076700453f05,r:638eb39909d2076700453f05,Freestyle,,,,
1050034514,40,382,15,9550,1,2,0,2,0,103,102243.3333,,13,5,3,2,0,0,0,0,0,0,0,3,70,64,633524f7003b4c6002471659,r:633524f7003b4c6002471659,Mix,9-0,Freestyle,,
315063319,40,404,15,9484,2,3,0,1,0,104,75700,,6,7,4,2,0,0,0,0,0,0,0,0,80,59,63e50b8a2c32d06d26c03d07,r:63e50b8a2c32d06d26c03d07,Freestyle,,,,
517901130,41,386,6,10734,7,7,0,0,0,105,97110,,12,10,3,0,0,0,0,0,0,0,0,0,93,59,6415b9baaa4882e759a09fff,r:6415b9baaa4882e759a09fff,Mix,2 wide ,3 wide,,
1863937815,40,400,5,11262,1,3,0,2,0,104,60820,,5,5,3,4,0,0,0,0,0,0,0,3,86,59,6431e8ea19b9aa580efbbd03,r:6431e8ea19b9aa580efbbd03,9-0,,,,
1064787475,40,480,28,10736,2,3,0,3,1,105,67406.66667,,16,4,1,3,0,0,1,0,0,0,0,1,136,47,629fcd4d1de244ce13e5f790,r:629fcd4d1de244ce13e5f790,Freestyle,,,,
83659303,40,516,25,13094,1,2,8,8,0,113,331446.6667,,1,0,1,9,0,0,0,0,0,0,0,2,160,55,64573e15f5ee1cc262069953,r:64573e15f5ee1cc262069953,9-0,,,,
2063014892,41,442,5,9355,1,3,0,0,0,111,86335,,23,6,2,0,0,0,0,0,0,0,0,0,104,67,6449bc9b35154fed9e74a275,r:6449bc9b35154fed9e74a275,Freestyle,,,,
1582296249,40,460,20,10022,2,3,0,2,0,102,86220,,15,7,1,2,0,0,0,0,0,0,0,5,111,53,62d0666f96cec7340a146274,r:62d0666f96cec7340a146274,Mix,9-0,Freestyle,,
775453434,40,447,23,10048,2,2,0,1,0,107,81203.33333,,9,4,5,2,0,0,0,0,0,0,0,2,103,57,638c7a939048481081441a7c,r:638c7a939048481081441a7c,Freestyle,,,,
386074538,40,408,18,9502,3,3,0,1,0,102,74900,,13,4,5,1,0,0,0,0,0,0,0,2,89,55,64511a74c168111ad2debf36,r:64511a74c168111ad2debf36,Freestyle,,,,
317773518,40,396,15,14906,1,1,10,10,0,107,76396.66667,,0,0,0,10,0,0,0,0,0,0,0,2,82,62,6172456f0e6ac854a4014111,r:6172456f0e6ac854a4014111,9-0,,,,
464040217,40,400,20,12030,1,2,0,5,0,104,106968.3333,,8,4,0,6,0,0,0,0,0,0,0,0,75,66,63cc86fa56c1df6d14d0cc07,r:63cc86fa56c1df6d14d0cc07,Mix,9-0,Freestyle,,
634667211,40,393,3,11494,1,7,0,3,0,105,78626.66667,,8,7,2,3,0,0,0,0,0,0,0,1,82,59,643ec4ba05baf9476c7ea141,r:643ec4ba05baf9476c7ea141,Mix,2 wide,0-9,Freestyle,
688878785,41,350,9,11030,3,3,0,2,0,105,91546.66667,,8,2,3,5,0,0,0,0,0,0,0,1,54,77,644be21ae02cc676fdf806fd,r:644be21ae02cc676fdf806fd,9-0,,,,
1498377376,40,474,22,13246,1,1,4,4,0,106,91461.66667,,1,0,1,9,0,0,0,0,0,0,0,1,101,56,63b5974e217b2d096333d347,r:63b5974e217b2d096333d347,9-0,,,,
1316778736,40,414,20,9170,2,2,0,0,0,102,77356.66667,,20,7,2,0,0,0,0,0,0,0,0,0,92,53,6414422781abac9b33662712,r:6414422781abac9b33662712,Freestyle,,,,
1934220871,40,367,9,13206,1,1,3,4,0,101,73570,,2,1,0,9,0,0,0,0,0,0,0,1,66,64,63bd60162ba1cccfecd6ddcf,r:63bd60162ba1cccfecd6ddcf,9-0,,,,
593947006,40,440,18,14802,1,2,10,10,0,106,77571.66667,,0,0,0,10,0,0,0,0,0,0,0,4,92,58,64537f190a68d94999f29a04,r:64537f190a68d94999f29a04,9-0,,,,
2143360425,40,368,26,9416,2,3,0,1,0,104,113855,,14,6,2,2,0,0,0,0,0,0,0,6,55,74,64466cc9c320444993e680a8,r:64466cc9c320444993e680a8,9-0,,,,
1620870645,40,418,53,11681,1,3,0,5,0,107,55355,,10,5,0,5,0,0,0,0,0,0,0,1,75,74,640fa3b7cdbd97a46dad1ca6,r:640fa3b7cdbd97a46dad1ca6,Mix,6-3,Freestyle,,
1426497088,40,391,22,10199,3,5,0,1,0,102,76041.66667,,15,7,1,2,0,0,0,0,0,0,0,1,63,64,6452faf341655062abd72046,r:6452faf341655062abd72046,Freestyle,,,,
696769756,43,405,20,15052,1,3,9,9,0,112,100078.3333,,1,1,0,10,0,0,0,0,0,0,0,2,72,71,63f29ece2a57039b17c92111,r:63f29ece2a57039b17c92111,36770,,,,
1817026073,40,433,36,9183,1,4,0,0,0,104,97251.66667,,26,4,2,0,0,0,0,0,0,0,0,2,51,72,64430fb8d133a913b127d842,r:64430fb8d133a913b127d842,Freestyle,,,,
1615362074,41,421,29,11456,1,7,1,1,1,105,116700,,15,7,2,1,0,0,0,0,1,0,0,3,80,70,624d8ea40833cfa3b15995cf,r:624d8ea40833cfa3b15995cf,Mix,Freestyle,2 wide,,
766446941,40,461,,11476,1,2,0,3,0,102,86815,,2,3,4,5,0,0,0,0,0,0,0,1,149,43,60950c601f4859d484f50e92,r:60950c601f4859d484f50e92,9-0,,,,
1594415444,40,469,13,11422,1,3,0,4,0,106,84083.33333,,12,4,0,5,0,0,0,0,0,0,0,0,128,43,643a85f38bbe0329d86a9374,r:643a85f38bbe0329d86a9374,Mix,0-9,Freestyle,,
372017581,40,418,12,12098,5,5,0,4,0,101,82605,,4,6,0,6,0,0,0,0,0,0,0,0,88,64,642f6b151a881857fdda8c4e,r:642f6b151a881857fdda8c4e,Mix,9-0,Freestyle,,
2116303755,40,505,18,10518,1,4,0,2,0,105,108718.3333,,9,6,1,4,0,0,0,0,0,0,0,0,164,40,62c0e366bf6ce5ce2e900b0e,r:62c0e366bf6ce5ce2e900b0e,Freestyle,,,,
1855830859,40,531,14,9719,7,7,0,1,0,102,133960,,22,1,4,1,0,0,0,0,0,0,0,0,198,33,6427536c26e2c90692af0d2a,r:6427536c26e2c90692af0d2a,Freestyle,,,,
1262202595,40,416,3,9366,1,6,0,0,0,103,93958.33333,,23,7,1,0,0,0,0,0,0,0,0,2,109,57,6440d68827ee40a5855f965c,r:6440d68827ee40a5855f965c,Freestyle,,,,
178305431,40,365,1,9264,4,4,0,0,0,101,106273.3333,,20,7,2,0,0,0,0,0,0,0,0,0,78,60,64511d5365d6430930c7ee79,r:64511d5365d6430930c7ee79,Freestyle,,,,
2000602185,40,424,4,8856,1,3,0,0,0,102,83901.66667,,18,11,0,0,0,0,0,0,0,0,0,0,128,47,642c4cde6cdce157f625e0fc,r:642c4cde6cdce157f625e0fc,Freestyle,,,,
1883934789,40,438,10,9602,1,3,0,1,0,102,100616.6667,,16,5,2,2,0,0,0,0,0,0,0,0,131,52,63e0bf1996fc8b6d043e665a,r:63e0bf1996fc8b6d043e665a,Freestyle,,,,
1590379442,40,436,4,14190,2,2,0,9,0,102,79055,,1,0,1,9,0,0,0,0,0,0,0,5,130,47,640dc75bad41309b2b09fceb,r:640dc75bad41309b2b09fceb,0-9,,,,
1822638820,43,523,9,12830,1,2,3,4,0,110,114440,,6,3,1,7,0,0,0,0,0,0,0,0,185,42,61dece38585652c0c0e591ce,r:61dece38585652c0c0e591ce,9-0,,,,
